Stance,Tweet
-1,mt @politicsiswar: for convenience...
0,only $0.99 on pastor sally gives practical and valuable advice! @sallypoyzer
1,"you know, it takes two to tango... here's why men need to help pay for prenatal care:"
1,"women's rights are threatened at national, state, and local levels. honored to receive the @naralmissouri endorsement today."
-1,faces that come to my mind when hearing arguments in defense of abortion. we must protect and defend our next generation.
-1,the reality of abortion~ you killed your baby!
0,just because u were heartbroken doesn't mean that u have to be a heartbreaker. never let what hurt u make u become what u hate.
0,"don’t mock mike pence for protecting his marriage, commend him. @mzhemingway @fdrlst"
-1,thank you @personhoodedny for having us at the bringing america back to life ny convention
0,remembering the victims of the #admiralduncan pub bombing which happened 18 years ago today. @admiral_duncan
-1,"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live. ..."
0,civil unions are finally law in italy thank goodness a step forward
0,"in 1997, the senate confirmed merrick garland to d.c. circuit of us court of appeals 76 to 23."
0,republicans is the cause donald trump is the symptom as america falls into the abyss
1,a thread to be read...
0,my #scotus report: supreme court won't stop order that exempts grandparents from trump's travel ban
0,"@GregAbbott_TX when did God define anything? Right, you are just a bigot trying to stick to your closed-minded agenda."
-1,"@BuhayIpaglaban @blueskies366 thank you again to show that you are AGAINST CONTRACEPTION. ""#Prolife"" = a code word for ."
0,supreme court lets alabama judges impose death penalty via @usatoday
0,senate democrats vow to block trump's #scotus nominee
-1,canadian health official wants free abortions for all women
0,"""justice neil gorsuch has lived up to supporters’ greatest hopes and critics’ worst fears."" #scotus via @wsj"
-1,original roe v wade mum who later became pro-life dies:
-1,uphold prudence_prevent the carnage!
-1,thank you .@potus @realdonaldtrump for this outstanding nomination of .
-1,On my bday I'm always so grateful to my bio parents who gave me up for
0,"new podcast: you may or may not like the #travelban, but #scotus said it is constitutional."
0,"george h.w. and barbara #bush, wed in 1945, have had the longest #marriage of any presidential couple in us history."
0,"thanks for your amazing support of red deer's rainbow crosswalks, @fargeys! we couldn't do it without you."
0,"study—""supreme court justices get more liberal as they get older"" article here ==&gt;"
-1,wemustlistenreverently2wordofgod2change #cultureofdeath rt
0,"@kylegriffin1 would #scotus agree with the administration that grandparents don't have a ""close familial relationship"" with their grandchildren?"
0,schumer takes obstructionism to a new level working to keep #scotus seat vacant for the next 4 years via @dcexaminer
-1,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. .
-1,#chooselife choose #theatre choose #trainspottinglive mon 17 – fri 21 july
0,"with jeff merkley leading, senate democrats commit to filibustering trump scotus pick"
0,bless their hearts...
0,thank you @clairecmc for coming out to #stopgorsuch! missouri families can't afford this lifetime #scotus appointment
-1,I am about to deck these 2 bitches in the fucking mouth.
0,@mistyaiya Just saw your review of @chadkultgen's book at Amazon. I have to say I totally agree with you. A sick marketing ploy.
-1," If abortion is not wrong, then nothing is wrong. Powerful words from Blessed Mother Teresa."
1,"""we are not going back!"" leader @andreascousins to @fpaoutrageous @womenshealthny"
-1,utterly ashamed that people would only choose a leader capable of starting a nuclear war.
0,#tbt #throwbackthursday me and @justwrightt in #ibiza for the #wedding of friends + our 10 year
-1,abortion clinic offering to kill baby at 30 weeks now under investigation
0,judge william pryor is on trump's #scotus short list. but he's being unfairly criticized - by the right.
0,pride in london is amazing! so much love ‍‍‍
-1,Some Bitches be scared to kill a little cockroach in their house but quick to kill a baby...
0,celebrate your color month
-1,don't miss @reagan_sfla on @ewtnnewsnightly tonight at 6/9pm et talking about the @hbo premiere of biased #abortion documentary
0,"wow. @abc calls a group, that just won a 7-2 decision at #scotus, a ""hate group"""
0,"sad! dems threatening a filibuster over @potus' #scotus nom before even knowing who it is! proves it's a/b politics - no policy, for them!"
0,thanks for having us @londonlgbtpride
0,dear....
